############ Ejecución 1 ############
D: 1, L: 16384, R: 131065, ciclos: 8175984, accesos: 5242600, ciclos/acc: 1.559528
D: 1, L: 32768, R: 262137, ciclos: 15825958, accesos: 10485480, ciclos/acc: 1.509321
D: 2, L: 256, R: 1021, ciclos: 65396, accesos: 40840, ciclos/acc: 1.601273
D: 2, L: 768, R: 3069, ciclos: 196768, accesos: 122760, ciclos/acc: 1.602867
D: 2, L: 2048, R: 8189, ciclos: 524574, accesos: 327560, ciclos/acc: 1.601459
D: 2, L: 3072, R: 12285, ciclos: 777028, accesos: 491400, ciclos/acc: 1.581254
D: 2, L: 8192, R: 32765, ciclos: 2133330, accesos: 1310600, ciclos/acc: 1.627751
D: 2, L: 16384, R: 65533, ciclos: 4360066, accesos: 2621320, ciclos/acc: 1.663309
D: 2, L: 32768, R: 131069, ciclos: 8131130, accesos: 5242760, ciclos/acc: 1.550925
D: 4, L: 256, R: 511, ciclos: 32882, accesos: 20440, ciclos/acc: 1.608708
D: 4, L: 768, R: 1535, ciclos: 98958, accesos: 61400, ciclos/acc: 1.611694
D: 4, L: 2048, R: 4095, ciclos: 263312, accesos: 163800, ciclos/acc: 1.607521
D: 4, L: 3072, R: 6143, ciclos: 394760, accesos: 245720, ciclos/acc: 1.606544
D: 4, L: 8192, R: 16383, ciclos: 989012, accesos: 655320, ciclos/acc: 1.509205
D: 4, L: 16384, R: 32767, ciclos: 2004454, accesos: 1310680, ciclos/acc: 1.529324
D: 4, L: 32768, R: 65535, ciclos: 4096482, accesos: 2621400, ciclos/acc: 1.562708
D: 8, L: 256, R: 256, ciclos: 16640, accesos: 10240, ciclos/acc: 1.625000
D: 8, L: 768, R: 768, ciclos: 51424, accesos: 30720, ciclos/acc: 1.673958
D: 8, L: 2048, R: 2048, ciclos: 137504, accesos: 81920, ciclos/acc: 1.678516
D: 8, L: 3072, R: 3072, ciclos: 199880, accesos: 122880, ciclos/acc: 1.626628
D: 8, L: 8192, R: 8192, ciclos: 551226, accesos: 327680, ciclos/acc: 1.682208
D: 8, L: 16384, R: 16384, ciclos: 1121164, accesos: 655360, ciclos/acc: 1.710760
D: 8, L: 32768, R: 32768, ciclos: 2226624, accesos: 1310720, ciclos/acc: 1.698779
D: 16, L: 256, R: 256, ciclos: 16696, accesos: 10240, ciclos/acc: 1.630469
D: 16, L: 768, R: 768, ciclos: 51850, accesos: 30720, ciclos/acc: 1.687826
D: 16, L: 2048, R: 2048, ciclos: 137782, accesos: 81920, ciclos/acc: 1.681909
D: 16, L: 3072, R: 3072, ciclos: 199898, accesos: 122880, ciclos/acc: 1.626774
D: 16, L: 8192, R: 8192, ciclos: 554968, accesos: 327680, ciclos/acc: 1.693628
D: 16, L: 16384, R: 16384, ciclos: 1487192, accesos: 655360, ciclos/acc: 2.269275
